epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.26661,0.78605,1.97238,1.02947,1,0.8556,0.99312,0.81092,0.69289,2.39098,0.868,0.000651515,0.000651515,0.000651515
2,13.6918,0.69237,1.2557,0.95829,1,0.49811,0.99329,0.83974,0.6148,2.60406,0.91574,0.00129208,0.00129208,0.00129208
3,19.872,0.69802,1.13984,0.95005,0.96764,1,0.99408,0.71484,0.82302,1.93716,0.95455,0.00190625,0.00190625,0.00190625
4,26.0622,0.72334,1.00197,0.97749,0.98031,0.9959,0.9946,0.82666,0.66422,1.18107,1.01663,0.0018812,0.0018812,0.0018812
5,32.1326,0.68432,0.8882,0.97517,0.98985,0.99333,0.99487,0.82948,0.65105,0.8237,1.04009,0.0018416,0.0018416,0.0018416
6,38.2264,0.67946,0.80782,0.99164,0.99909,1,0.995,0.81285,0.67287,0.7448,1.02249,0.001802,0.001802,0.001802
7,44.2692,0.63951,0.69878,0.95853,0.99911,1,0.995,0.85264,0.56848,0.57706,0.98155,0.0017624,0.0017624,0.0017624
8,50.3804,0.62989,0.63038,0.96499,0.99328,0.98541,0.994,0.83416,0.63708,0.78995,1.06305,0.0017228,0.0017228,0.0017228
9,56.5582,0.6439,0.62974,0.97485,0.99856,1,0.995,0.84661,0.58439,0.49023,0.99105,0.0016832,0.0016832,0.0016832
10,62.6912,0.62031,0.56154,0.9663,0.99956,1,0.995,0.86378,0.57596,0.47887,0.99341,0.0016436,0.0016436,0.0016436
11,68.7564,0.62387,0.52996,0.96912,0.99951,1,0.995,0.86926,0.53404,0.3824,0.96012,0.001604,0.001604,0.001604
12,74.8493,0.6181,0.50324,0.94641,0.998,1,0.995,0.87091,0.54478,0.39246,0.97162,0.0015644,0.0015644,0.0015644
13,80.9263,0.57239,0.4703,0.94994,0.99943,1,0.995,0.87305,0.52445,0.34471,0.96321,0.0015248,0.0015248,0.0015248
14,86.9836,0.61666,0.45362,0.94993,0.99898,1,0.995,0.86159,0.55096,0.34857,0.97994,0.0014852,0.0014852,0.0014852
15,93.0085,0.62997,0.47561,0.9545,0.99954,1,0.995,0.86365,0.54422,0.34281,0.97385,0.0014456,0.0014456,0.0014456
16,99.086,0.59552,0.43657,0.96778,0.99956,1,0.995,0.86622,0.53966,0.31971,0.96237,0.001406,0.001406,0.001406
17,105.157,0.57362,0.41033,0.94525,0.99835,1,0.995,0.85253,0.5769,0.33786,0.9833,0.0013664,0.0013664,0.0013664
18,111.34,0.58081,0.40736,0.95766,0.9993,1,0.995,0.8381,0.60098,0.32813,0.99568,0.0013268,0.0013268,0.0013268
19,117.361,0.58874,0.39225,0.94667,0.99878,1,0.995,0.87265,0.55114,0.32418,0.96505,0.0012872,0.0012872,0.0012872
20,123.446,0.5909,0.39446,0.94093,0.99959,1,0.995,0.87504,0.5525,0.31056,0.96749,0.0012476,0.0012476,0.0012476
21,129.504,0.57738,0.37795,0.94319,0.99964,1,0.995,0.87307,0.53683,0.29182,0.96755,0.001208,0.001208,0.001208
22,135.52,0.55273,0.3723,0.94471,0.9996,1,0.995,0.86609,0.60543,0.31614,0.9909,0.0011684,0.0011684,0.0011684
23,141.588,0.56815,0.3696,0.93776,0.99959,1,0.995,0.86623,0.56943,0.29952,0.97272,0.0011288,0.0011288,0.0011288
24,147.577,0.56901,0.3693,0.93751,0.99955,1,0.995,0.8744,0.5418,0.28304,0.96488,0.0010892,0.0010892,0.0010892
25,153.624,0.55042,0.34707,0.92106,0.99961,1,0.995,0.88449,0.54661,0.30479,0.96091,0.0010496,0.0010496,0.0010496
26,159.767,0.54301,0.34858,0.92884,0.99961,1,0.995,0.86893,0.54221,0.29543,0.9621,0.00101,0.00101,0.00101
27,165.873,0.51791,0.33133,0.91992,0.9996,1,0.995,0.88072,0.54386,0.29369,0.96694,0.0009704,0.0009704,0.0009704
28,172.052,0.51676,0.32787,0.9257,0.99961,1,0.995,0.87835,0.51682,0.2695,0.94579,0.0009308,0.0009308,0.0009308
29,178.139,0.55704,0.33874,0.93181,0.99955,1,0.995,0.88683,0.52491,0.27373,0.95417,0.0008912,0.0008912,0.0008912
30,184.232,0.54638,0.33586,0.92864,0.99959,1,0.995,0.87242,0.52342,0.27777,0.94914,0.0008516,0.0008516,0.0008516
31,190.304,0.51824,0.31407,0.9203,0.99958,1,0.995,0.87963,0.52148,0.27285,0.95542,0.000812,0.000812,0.000812
32,196.371,0.54074,0.32986,0.93416,0.99955,1,0.995,0.87931,0.52177,0.27379,0.95042,0.0007724,0.0007724,0.0007724
33,202.399,0.53225,0.33097,0.93657,0.99955,1,0.995,0.87349,0.55834,0.26548,0.96007,0.0007328,0.0007328,0.0007328
34,208.467,0.52535,0.3171,0.92835,0.99959,1,0.995,0.88565,0.49634,0.25902,0.93779,0.0006932,0.0006932,0.0006932
35,214.519,0.51939,0.30699,0.92034,0.9996,1,0.995,0.87336,0.54485,0.25727,0.95585,0.0006536,0.0006536,0.0006536
36,220.594,0.48259,0.29531,0.90085,0.99962,1,0.995,0.88192,0.51134,0.23678,0.94363,0.000614,0.000614,0.000614
37,226.677,0.52452,0.31269,0.92719,0.9996,1,0.995,0.88698,0.50529,0.24628,0.94068,0.0005744,0.0005744,0.0005744
38,232.737,0.52272,0.30114,0.91969,0.99956,1,0.995,0.88167,0.5034,0.25005,0.94018,0.0005348,0.0005348,0.0005348
39,238.682,0.50899,0.29881,0.9304,0.99956,1,0.995,0.88658,0.4963,0.25477,0.93945,0.0004952,0.0004952,0.0004952
40,244.633,0.50701,0.29919,0.92873,0.99963,1,0.995,0.88168,0.52834,0.24854,0.95059,0.0004556,0.0004556,0.0004556
41,273.749,0.46866,0.2712,0.94225,0.99957,1,0.995,0.87364,0.51369,0.24312,0.94364,0.000416,0.000416,0.000416
42,279.728,0.44972,0.25369,0.90485,0.9996,1,0.995,0.87393,0.52064,0.25217,0.95178,0.0003764,0.0003764,0.0003764
43,285.828,0.45809,0.25763,0.90808,0.99955,1,0.995,0.87982,0.52456,0.2607,0.95366,0.0003368,0.0003368,0.0003368
44,291.821,0.44043,0.24929,0.91378,0.99961,1,0.995,0.8944,0.49316,0.23981,0.93819,0.0002972,0.0002972,0.0002972
45,297.798,0.44003,0.24435,0.91096,0.99962,1,0.995,0.89737,0.49496,0.23274,0.93169,0.0002576,0.0002576,0.0002576
46,303.784,0.43554,0.23635,0.90205,0.99963,1,0.995,0.89991,0.48589,0.22827,0.93216,0.000218,0.000218,0.000218
