epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.96059,0.75546,3.61423,1.06588,0.00333,1,0.97367,0.723,1.08714,2.90768,0.94243,0.00018,0.00018,0.00018
2,5.02931,0.67027,1.83739,0.87534,0.98197,1,0.995,0.68465,0.97408,2.32878,0.95366,0.000378119,0.000378119,0.000378119
3,6.9537,0.77729,1.45667,0.90674,0.51033,1,0.995,0.73237,0.9878,2.6281,0.94735,0.000574258,0.000574258,0.000574258
4,8.94253,0.74005,1.40561,0.90959,0.99372,1,0.995,0.62002,1.3587,2.48299,1.09619,0.000768417,0.000768417,0.000768417
5,10.8131,0.68346,1.29854,0.9165,0.00626,1,0.74293,0.45209,1.30923,3.26645,1.1772,0.000960596,0.000960596,0.000960596
6,12.6708,0.72437,1.32363,0.91817,1,0.59198,0.94301,0.57827,1.3774,2.93791,1.16542,0.0011508,0.0011508,0.0011508
7,14.4922,0.84138,1.51534,0.97315,1,0.78205,0.98417,0.64682,1.31003,3.02904,1.19103,0.00133901,0.00133901,0.00133901
8,16.2691,0.72228,1.26848,0.91968,0.97271,1,0.995,0.6589,1.25085,2.31827,1.25628,0.00152525,0.00152525,0.00152525
9,18.0263,0.73616,1.33628,0.96334,0.94857,0.92276,0.98548,0.71357,1.12437,2.57575,1.18628,0.00170951,0.00170951,0.00170951
10,19.858,0.73633,1.23756,0.94121,0.9925,1,0.995,0.658,1.20677,1.67586,1.24187,0.00189179,0.00189179,0.00189179
11,21.6803,0.76587,1.12673,0.95213,0.99407,1,0.995,0.66534,1.12243,1.4477,1.18958,0.001901,0.001901,0.001901
12,23.4607,0.71442,1.09302,0.92675,0.99612,1,0.995,0.68354,1.04232,1.50462,1.095,0.0018911,0.0018911,0.0018911
13,25.2775,0.79479,1.18141,0.98895,0.99704,1,0.995,0.642,1.2388,1.3313,1.25409,0.0018812,0.0018812,0.0018812
14,27.0961,0.75218,1.07918,0.96059,0.99723,1,0.995,0.74465,1.05398,1.29087,1.14476,0.0018713,0.0018713,0.0018713
15,28.8625,0.71125,1.09322,0.96787,0.99717,1,0.995,0.73,1.14279,1.35843,1.29508,0.0018614,0.0018614,0.0018614
16,30.5855,0.76143,1.07705,0.98893,0.99681,1,0.995,0.68401,1.13595,1.18443,1.22411,0.0018515,0.0018515,0.0018515
