epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.71021,0.73339,2.22141,0.97527,0.99508,1,0.995,0.82873,0.65462,2.04269,0.82537,0.00062,0.00062,0.00062
2,10.4879,0.67996,1.26858,0.91074,1,0.97826,0.995,0.82261,0.66519,1.94689,0.84368,0.00124753,0.00124753,0.00124753
3,15.2005,0.68276,1.18271,0.92626,0.96645,0.97826,0.99417,0.83025,0.62996,1.34309,0.85722,0.00186238,0.00186238,0.00186238
4,19.7269,0.76755,1.20163,0.95667,0.99823,1,0.995,0.83207,0.63794,1.20406,0.87431,0.0019406,0.0019406,0.0019406
5,24.2735,0.70969,1.10701,0.92955,1,0.99848,0.995,0.84855,0.62412,1.10068,0.90093,0.0019208,0.0019208,0.0019208
6,28.7569,0.66635,0.91624,0.91856,0.99656,1,0.995,0.8675,0.60786,0.95525,0.91311,0.001901,0.001901,0.001901
7,33.1685,0.64036,0.84003,0.91796,0.99872,1,0.995,0.86236,0.57391,0.66113,0.90944,0.0018812,0.0018812,0.0018812
8,37.5336,0.65272,0.77696,0.91863,0.99856,1,0.995,0.85076,0.58874,0.62446,0.93777,0.0018614,0.0018614,0.0018614
9,42.0417,0.64222,0.73104,0.9289,0.99863,1,0.995,0.87329,0.56139,0.57525,0.92249,0.0018416,0.0018416,0.0018416
10,46.5029,0.60721,0.65427,0.92332,0.99879,1,0.995,0.89456,0.49612,0.54858,0.88055,0.0018218,0.0018218,0.0018218
11,51.0229,0.61935,0.65658,0.92165,0.99855,1,0.995,0.89631,0.49908,0.54291,0.86879,0.001802,0.001802,0.001802
12,55.4196,0.62761,0.63851,0.92788,0.99858,1,0.995,0.8704,0.58449,0.51364,0.90492,0.0017822,0.0017822,0.0017822
13,59.9655,0.61176,0.60551,0.91684,0.99829,1,0.995,0.88222,0.52071,0.50752,0.89356,0.0017624,0.0017624,0.0017624
14,64.4683,0.61524,0.57066,0.9245,0.99841,1,0.995,0.89228,0.51037,0.47193,0.89804,0.0017426,0.0017426,0.0017426
15,68.8526,0.57256,0.53034,0.91117,0.99793,1,0.995,0.87663,0.54135,0.41309,0.91587,0.0017228,0.0017228,0.0017228
16,73.3053,0.61,0.51497,0.90653,0.99872,1,0.995,0.88451,0.50245,0.35062,0.89479,0.001703,0.001703,0.001703
17,77.6727,0.56553,0.4812,0.90685,0.99774,1,0.995,0.9041,0.48108,0.34801,0.89043,0.0016832,0.0016832,0.0016832
18,82.1295,0.57637,0.48847,0.91664,0.99828,1,0.995,0.91167,0.47005,0.33011,0.88212,0.0016634,0.0016634,0.0016634
19,86.5797,0.60228,0.476,0.90939,0.99869,1,0.995,0.87891,0.54579,0.35096,0.91845,0.0016436,0.0016436,0.0016436
20,91.1175,0.59085,0.45772,0.93162,0.99881,1,0.995,0.87858,0.56054,0.32121,0.93427,0.0016238,0.0016238,0.0016238
21,95.5513,0.58134,0.44482,0.92909,0.99875,1,0.995,0.88933,0.47407,0.28458,0.87656,0.001604,0.001604,0.001604
22,100.091,0.58366,0.44752,0.93558,0.9988,1,0.995,0.86834,0.56137,0.31604,0.92984,0.0015842,0.0015842,0.0015842
23,104.693,0.57191,0.42527,0.92756,0.99875,1,0.995,0.89271,0.513,0.32581,0.9055,0.0015644,0.0015644,0.0015644
24,109.356,0.56174,0.43143,0.90354,0.99849,1,0.995,0.88881,0.48845,0.32486,0.88721,0.0015446,0.0015446,0.0015446
25,113.81,0.56175,0.40901,0.91511,0.99864,1,0.995,0.9125,0.46878,0.2988,0.88356,0.0015248,0.0015248,0.0015248
26,118.399,0.55903,0.38032,0.9071,0.99872,1,0.995,0.8898,0.49377,0.28505,0.88645,0.001505,0.001505,0.001505
27,122.882,0.55164,0.37444,0.9063,0.99875,1,0.995,0.89111,0.49243,0.28192,0.88816,0.0014852,0.0014852,0.0014852
28,127.348,0.55795,0.37327,0.91223,0.99866,1,0.995,0.90188,0.49482,0.2936,0.88893,0.0014654,0.0014654,0.0014654
29,131.951,0.5523,0.36902,0.90794,0.99882,1,0.995,0.89879,0.49619,0.2809,0.89684,0.0014456,0.0014456,0.0014456
30,136.394,0.54033,0.37096,0.90641,0.99758,1,0.995,0.87318,0.52593,0.34489,0.90167,0.0014258,0.0014258,0.0014258
31,140.814,0.54532,0.37078,0.91408,0.99854,1,0.995,0.90142,0.48606,0.2888,0.8797,0.001406,0.001406,0.001406
32,145.388,0.55349,0.36485,0.89703,0.99803,1,0.995,0.87765,0.54178,0.30141,0.90504,0.0013862,0.0013862,0.0013862
33,149.838,0.53991,0.36457,0.90688,0.99876,1,0.995,0.90665,0.46391,0.28074,0.87944,0.0013664,0.0013664,0.0013664
34,154.35,0.53864,0.35858,0.88993,0.99878,1,0.995,0.91985,0.47388,0.2826,0.8822,0.0013466,0.0013466,0.0013466
35,158.743,0.57328,0.37991,0.91534,0.99871,1,0.995,0.88943,0.49972,0.31122,0.88483,0.0013268,0.0013268,0.0013268
36,163.31,0.54758,0.37095,0.9044,0.99878,1,0.995,0.9227,0.48564,0.27913,0.88441,0.001307,0.001307,0.001307
37,167.736,0.52235,0.34476,0.8909,0.99877,1,0.995,0.902,0.50281,0.25135,0.89656,0.0012872,0.0012872,0.0012872
38,172.17,0.53954,0.34068,0.90885,0.99875,1,0.995,0.9077,0.49,0.2768,0.89989,0.0012674,0.0012674,0.0012674
39,176.605,0.52936,0.34074,0.89971,0.99877,1,0.995,0.90934,0.47872,0.27362,0.88847,0.0012476,0.0012476,0.0012476
40,180.981,0.53129,0.34487,0.89816,0.99881,1,0.995,0.8901,0.48165,0.26145,0.88809,0.0012278,0.0012278,0.0012278
