epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.3197,0.86696,3.6342,1.12097,0.00126,1,0.36014,0.29955,0.37017,36.0309,0.65484,0.000651163,0.000651163,0.000651163
2,13.6064,0.77793,2.87212,1.05713,0.23427,0.93878,0.23272,0.19125,0.48555,33.4748,0.76525,0.00130478,0.00130478,0.00130478
3,19.7126,0.77886,2.26382,1.05041,0.43256,0.42015,0.45449,0.28379,0.53684,19.5992,0.85261,0.0019452,0.0019452,0.0019452
4,26.0019,0.82279,2.11714,1.06257,0.38078,0.95918,0.43855,0.35806,0.53692,24.8301,0.86023,0.0019406,0.0019406,0.0019406
5,32.4344,0.76445,1.6434,1.01655,0.37979,0.91837,0.4,0.33322,0.46056,25.4948,0.77532,0.0019208,0.0019208,0.0019208
6,39.0818,0.78199,1.72415,1.04443,0.38595,0.95918,0.51472,0.44074,0.52415,19.5701,0.86089,0.001901,0.001901,0.001901
7,45.5389,0.74041,1.63271,1.02147,0.37511,0.98007,0.4795,0.39457,0.55673,14.0951,0.83928,0.0018812,0.0018812,0.0018812
8,52.0781,0.71871,1.48814,1.01163,0.38013,1,0.42331,0.36021,0.43715,18.3792,0.75731,0.0018614,0.0018614,0.0018614
9,58.452,0.72427,1.39933,1.02257,0.38303,0.95918,0.41082,0.34869,0.47881,25.0564,0.79673,0.0018416,0.0018416,0.0018416
10,64.9605,0.74024,1.367,1.00779,0.38125,1,0.40421,0.34218,0.4419,17.0316,0.74003,0.0018218,0.0018218,0.0018218
11,71.3015,0.66431,1.15476,0.99643,0.38174,1,0.4589,0.38199,0.50856,20.8995,0.78282,0.001802,0.001802,0.001802
12,77.6844,0.71527,1.11229,0.98778,0.37802,1,0.51877,0.43664,0.48422,12.4492,0.77069,0.0017822,0.0017822,0.0017822
13,84.0375,0.68517,1.17255,1.00088,0.38909,0.96188,0.4402,0.36828,0.46153,14.8499,0.74339,0.0017624,0.0017624,0.0017624
14,90.2767,0.68021,1.10282,0.98151,0.3809,0.93878,0.50816,0.42054,0.50708,11.5955,0.80349,0.0017426,0.0017426,0.0017426
15,96.5271,0.62107,1.06355,0.95456,0.38009,0.97959,0.51288,0.44457,0.52726,11.5711,0.81968,0.0017228,0.0017228,0.0017228
16,102.909,0.67245,1.06742,0.97941,0.39,0.91837,0.48399,0.41493,0.50459,23.1397,0.80789,0.001703,0.001703,0.001703
17,109.239,0.68632,1.08238,0.96271,0.38149,1,0.40751,0.34177,0.48123,16.551,0.78855,0.0016832,0.0016832,0.0016832
18,115.715,0.6475,1.12432,0.98655,0.38972,1,0.46838,0.39966,0.43163,20.8364,0.73106,0.0016634,0.0016634,0.0016634
19,122.005,0.62422,0.99009,0.96542,0.38676,1,0.4292,0.37583,0.44275,14.3902,0.73792,0.0016436,0.0016436,0.0016436
20,128.263,0.6506,1.10024,0.96141,0.41986,0.93054,0.50143,0.42377,0.4575,5.72925,0.75202,0.0016238,0.0016238,0.0016238
21,134.51,0.69424,1.06711,1.01293,0.40717,1,0.58724,0.4958,0.52836,11.9826,0.80862,0.001604,0.001604,0.001604
22,140.775,0.6193,1.02006,0.9567,0.38925,1,0.49589,0.42772,0.43544,12.9888,0.73218,0.0015842,0.0015842,0.0015842
23,147.003,0.63042,0.98771,0.96539,0.38772,0.89796,0.55158,0.47126,0.48055,11.878,0.75873,0.0015644,0.0015644,0.0015644
24,153.274,0.63825,0.99178,0.97211,0.37425,0.97959,0.48705,0.41947,0.49218,13.5903,0.77604,0.0015446,0.0015446,0.0015446
25,159.532,0.59743,0.98485,0.93211,0.37907,1,0.43397,0.3799,0.4266,16.373,0.74299,0.0015248,0.0015248,0.0015248
26,165.722,0.61271,0.90628,0.93251,0.39974,0.87755,0.46994,0.40327,0.41767,17.1108,0.71405,0.001505,0.001505,0.001505
27,171.909,0.61657,0.93347,0.96086,0.38282,1,0.46792,0.39844,0.47675,19.1796,0.75762,0.0014852,0.0014852,0.0014852
28,178.185,0.63719,0.896,0.97808,0.37944,0.98586,0.48505,0.42223,0.45579,16.3619,0.7604,0.0014654,0.0014654,0.0014654
29,184.345,0.59726,1.01776,0.94641,0.37478,1,0.46139,0.39355,0.47368,13.8382,0.78095,0.0014456,0.0014456,0.0014456
30,190.645,0.62621,1.02712,0.95521,0.38311,0.95918,0.55274,0.46225,0.50506,11.7074,0.77028,0.0014258,0.0014258,0.0014258
31,196.846,0.6402,0.91544,0.96264,0.37504,1,0.52173,0.43461,0.60608,20.6729,0.92023,0.001406,0.001406,0.001406
32,203.219,0.59662,0.90631,0.93885,0.37561,1,0.45541,0.38336,0.51049,18.3485,0.79873,0.0013862,0.0013862,0.0013862
33,209.398,0.61102,0.97454,0.96203,0.3756,1,0.46364,0.40051,0.49309,12.917,0.80078,0.0013664,0.0013664,0.0013664
34,215.614,0.6017,1.42043,0.93651,0.38287,0.95918,0.52127,0.44704,0.45375,14.5196,0.75877,0.0013466,0.0013466,0.0013466
35,222.033,0.60742,1.01452,0.95079,0.37959,1,0.48589,0.42554,0.44519,11.926,0.74606,0.0013268,0.0013268,0.0013268
36,228.26,0.62035,0.9046,0.96035,0.38659,0.95918,0.45497,0.39259,0.45821,10.6928,0.75163,0.001307,0.001307,0.001307
37,234.508,0.61182,0.92865,0.93865,0.39429,0.97959,0.49388,0.41533,0.45018,22.9462,0.76615,0.0012872,0.0012872,0.0012872
38,240.653,0.57043,0.89219,0.95468,0.41503,0.93878,0.59021,0.51242,0.4717,19.0845,0.78432,0.0012674,0.0012674,0.0012674
39,246.899,0.5835,0.87149,0.93726,0.38474,1,0.50787,0.43311,0.43602,19.1149,0.74392,0.0012476,0.0012476,0.0012476
40,253.138,0.58317,0.89469,0.94325,0.38182,1,0.51665,0.45482,0.46895,12.9252,0.77207,0.0012278,0.0012278,0.0012278
41,259.308,0.5768,1.24271,0.91272,0.38451,0.95623,0.41611,0.36294,0.42357,9.31818,0.73232,0.001208,0.001208,0.001208
42,265.547,0.6153,1.03092,0.95183,0.37889,1,0.45761,0.40205,0.4165,11.2147,0.72959,0.0011882,0.0011882,0.0011882
43,271.809,0.5846,0.98213,0.93193,0.37908,1,0.48807,0.42675,0.44679,16.9987,0.75763,0.0011684,0.0011684,0.0011684
44,278.117,0.61967,0.93909,0.95359,0.38231,1,0.40819,0.3489,0.44606,14.0214,0.75384,0.0011486,0.0011486,0.0011486
45,284.407,0.61744,0.98642,0.9506,0.39056,0.97959,0.41041,0.35313,0.4412,14.4929,0.73642,0.0011288,0.0011288,0.0011288
46,290.809,0.62848,1.03915,0.98316,0.38186,1,0.50045,0.43476,0.46182,11.7041,0.76054,0.001109,0.001109,0.001109
47,296.944,0.57186,0.86231,0.94165,0.37871,1,0.4254,0.35371,0.46408,25.4,0.77651,0.0010892,0.0010892,0.0010892
48,303.329,0.61019,0.90966,0.9571,0.37806,1,0.46797,0.41155,0.47044,16.9699,0.77567,0.0010694,0.0010694,0.0010694
49,309.849,0.58906,0.89782,0.93694,0.38242,0.97959,0.51412,0.44507,0.5111,12.6221,0.79197,0.0010496,0.0010496,0.0010496
50,316.152,0.57769,0.85469,0.94941,0.37981,1,0.48047,0.42265,0.47291,13.2945,0.74989,0.0010298,0.0010298,0.0010298
51,322.278,0.57091,0.84699,0.92856,0.37851,1,0.52043,0.45075,0.41618,18.891,0.71681,0.00101,0.00101,0.00101
52,328.331,0.55908,0.82884,0.94015,0.37978,1,0.46397,0.40316,0.45073,16.6304,0.75728,0.0009902,0.0009902,0.0009902
53,334.347,0.56422,0.84393,0.94352,0.37902,0.97959,0.59557,0.52308,0.43016,15.3043,0.74153,0.0009704,0.0009704,0.0009704
54,340.452,0.54132,0.81275,0.91505,0.38433,1,0.56749,0.49812,0.42135,23.7503,0.74604,0.0009506,0.0009506,0.0009506
55,346.417,0.52749,0.88352,0.93213,0.39291,0.95918,0.48255,0.42381,0.42141,17.6722,0.74353,0.0009308,0.0009308,0.0009308
56,352.4,0.54164,1.00425,0.92272,0.39075,1,0.53012,0.46294,0.44417,12.4381,0.74215,0.000911,0.000911,0.000911
57,358.496,0.56526,0.8683,0.92038,0.38681,1,0.47586,0.41829,0.43983,11.439,0.73853,0.0008912,0.0008912,0.0008912
