epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.54112,0.64055,2.98331,0.99399,0.99889,1,0.995,0.87124,0.51492,2.53215,0.81656,0.00026,0.00026,0.00026
2,8.28461,0.45443,1.28726,0.84349,1,0.69996,0.995,0.84557,0.53998,2.71752,0.81879,0.000529308,0.000529308,0.000529308
3,11.9431,0.45642,1.10978,0.84296,1,0.42658,0.98326,0.87243,0.46306,2.96053,0.82425,0.000787528,0.000787528,0.000787528
4,15.5826,0.46226,1.02058,0.848,0.98124,0.81718,0.97141,0.83,0.55012,2.18191,0.83796,0.00103466,0.00103466,0.00103466
5,19.1941,0.47168,0.95272,0.8613,0.90577,0.75094,0.91672,0.78095,0.52058,2.48924,0.84668,0.0012707,0.0012707,0.0012707
6,22.827,0.51759,1.00271,0.88072,0.99516,1,0.995,0.89809,0.43631,1.73473,0.85262,0.00149566,0.00149566,0.00149566
7,26.4642,0.49939,0.84323,0.88559,0.99833,1,0.995,0.90473,0.43086,1.46557,0.85789,0.00170953,0.00170953,0.00170953
8,30.0383,0.45563,0.81215,0.85114,0.99915,1,0.995,0.92704,0.41356,0.90739,0.85941,0.0017228,0.0017228,0.0017228
9,33.5626,0.41005,0.70482,0.83336,0.9989,1,0.995,0.93914,0.35027,0.64486,0.8253,0.0016832,0.0016832,0.0016832
10,37.1328,0.40947,0.68455,0.84734,0.99807,1,0.995,0.94042,0.34383,0.59065,0.8217,0.0016436,0.0016436,0.0016436
11,40.6772,0.40348,0.63517,0.85001,0.99867,1,0.995,0.93513,0.33149,0.53688,0.81477,0.001604,0.001604,0.001604
12,44.2552,0.39013,0.60831,0.85922,0.99894,1,0.995,0.9603,0.33374,0.49303,0.83269,0.0015644,0.0015644,0.0015644
13,47.792,0.4109,0.6217,0.84429,0.99913,1,0.995,0.93706,0.3003,0.41505,0.80405,0.0015248,0.0015248,0.0015248
14,51.3318,0.3934,0.58286,0.83991,0.99915,1,0.995,0.94969,0.30643,0.41596,0.81558,0.0014852,0.0014852,0.0014852
15,54.9651,0.38136,0.51135,0.83625,0.998,1,0.995,0.94004,0.32695,0.40918,0.81946,0.0014456,0.0014456,0.0014456
16,58.4856,0.37168,0.50226,0.85449,0.99907,1,0.995,0.98176,0.29204,0.40964,0.79845,0.001406,0.001406,0.001406
17,61.9592,0.3678,0.48654,0.83403,0.99889,1,0.995,0.96339,0.30651,0.44639,0.81152,0.0013664,0.0013664,0.0013664
18,65.4633,0.38005,0.47776,0.82937,0.99953,1,0.995,0.9672,0.28513,0.41067,0.79714,0.0013268,0.0013268,0.0013268
19,68.9975,0.35842,0.4558,0.83433,0.99815,1,0.995,0.93639,0.32774,0.41908,0.82389,0.0012872,0.0012872,0.0012872
20,72.5931,0.36854,0.46096,0.83191,0.99898,1,0.995,0.94931,0.30463,0.37043,0.80581,0.0012476,0.0012476,0.0012476
21,76.127,0.35529,0.42792,0.83176,0.99896,1,0.995,0.9766,0.25584,0.32655,0.79291,0.001208,0.001208,0.001208
22,79.6716,0.34915,0.40566,0.83623,0.9985,1,0.995,0.93676,0.30414,0.33334,0.80864,0.0011684,0.0011684,0.0011684
23,83.1665,0.33328,0.3833,0.82507,0.99575,1,0.995,0.97561,0.27378,0.29524,0.80113,0.0011288,0.0011288,0.0011288
24,86.6876,0.31901,0.37918,0.83303,0.98202,1,0.99485,0.96144,0.28501,0.30851,0.80623,0.0010892,0.0010892,0.0010892
25,90.2539,0.33616,0.38759,0.83015,0.99777,1,0.995,0.93638,0.33087,0.27445,0.81437,0.0010496,0.0010496,0.0010496
26,93.8399,0.32265,0.36876,0.83871,0.99862,1,0.995,0.98301,0.25108,0.23617,0.78878,0.00101,0.00101,0.00101
27,97.3225,0.31854,0.37108,0.81981,0.9982,1,0.995,0.97362,0.2567,0.24503,0.79005,0.0009704,0.0009704,0.0009704
28,100.886,0.30657,0.34817,0.82499,0.99786,1,0.995,0.97207,0.25103,0.23976,0.78895,0.0009308,0.0009308,0.0009308
29,104.378,0.31948,0.34345,0.82019,0.99821,1,0.995,0.96838,0.25725,0.22988,0.78876,0.0008912,0.0008912,0.0008912
30,107.873,0.31512,0.34338,0.83928,0.99843,1,0.995,0.96689,0.26957,0.2405,0.79452,0.0008516,0.0008516,0.0008516
31,111.481,0.30161,0.32771,0.83198,0.99878,1,0.995,0.98993,0.22908,0.22711,0.78236,0.000812,0.000812,0.000812
32,115.175,0.29352,0.31141,0.81853,0.99912,1,0.995,0.97955,0.23575,0.21384,0.78359,0.0007724,0.0007724,0.0007724
33,118.727,0.28746,0.31037,0.80217,0.99886,1,0.995,0.98118,0.2268,0.23323,0.781,0.0007328,0.0007328,0.0007328
34,122.312,0.29087,0.31132,0.81737,0.99897,1,0.995,0.98207,0.23346,0.20378,0.78115,0.0006932,0.0006932,0.0006932
35,125.886,0.29181,0.31696,0.81702,0.99898,1,0.995,0.98448,0.21938,0.18239,0.77673,0.0006536,0.0006536,0.0006536
36,129.436,0.2905,0.32033,0.82861,0.99912,1,0.995,0.97662,0.23707,0.19456,0.78576,0.000614,0.000614,0.000614
37,132.981,0.27367,0.29104,0.80842,0.99913,1,0.995,0.99167,0.21826,0.19656,0.7778,0.0005744,0.0005744,0.0005744
38,136.518,0.27008,0.28444,0.82809,0.99916,1,0.995,0.98703,0.21469,0.18266,0.77701,0.0005348,0.0005348,0.0005348
39,139.998,0.26804,0.28544,0.8102,0.99914,1,0.995,0.98643,0.21641,0.18287,0.77635,0.0004952,0.0004952,0.0004952
40,143.508,0.26681,0.2793,0.80999,0.99914,1,0.995,0.97876,0.21843,0.18971,0.77678,0.0004556,0.0004556,0.0004556
41,172.205,0.21739,0.27268,0.8014,0.99956,1,0.995,0.9891,0.19948,0.21623,0.77375,0.000416,0.000416,0.000416
42,175.869,0.20715,0.25852,0.79326,0.99909,1,0.995,0.98371,0.21792,0.17719,0.77844,0.0003764,0.0003764,0.0003764
43,179.379,0.21265,0.25866,0.78523,0.99913,1,0.995,0.98656,0.20193,0.17147,0.77227,0.0003368,0.0003368,0.0003368
44,182.841,0.20946,0.25349,0.78946,0.99941,1,0.995,0.98616,0.21586,0.18087,0.77552,0.0002972,0.0002972,0.0002972
45,186.328,0.19883,0.24266,0.7895,1,0.99998,0.995,0.98992,0.20222,0.17813,0.77307,0.0002576,0.0002576,0.0002576
46,189.808,0.1939,0.24148,0.79074,1,0.99864,0.995,0.9908,0.18943,0.20355,0.77193,0.000218,0.000218,0.000218
47,193.361,0.1867,0.23344,0.78286,1,0.99886,0.995,0.9908,0.19822,0.19564,0.77287,0.0001784,0.0001784,0.0001784
48,196.898,0.18805,0.23075,0.77494,1,0.99992,0.995,0.99396,0.18788,0.17137,0.76982,0.0001388,0.0001388,0.0001388
49,200.462,0.18573,0.21985,0.7806,0.99927,1,0.995,0.99155,0.18562,0.15865,0.76988,9.92e-05,9.92e-05,9.92e-05
50,204.048,0.18154,0.21814,0.78236,0.99927,1,0.995,0.98835,0.18286,0.16329,0.76903,5.96e-05,5.96e-05,5.96e-05
