epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.89737,0.75546,3.61423,1.06588,0.00333,1,0.97367,0.723,1.08714,2.90768,0.94243,0.00018,0.00018,0.00018
2,5.10329,0.66941,1.85073,0.87424,0.99016,1,0.995,0.69118,0.99483,2.34941,0.96114,0.000372476,0.000372476,0.000372476
3,7.03733,0.77787,1.45289,0.9049,0.97503,1,0.995,0.73347,1.01869,2.65549,0.95173,0.000557032,0.000557032,0.000557032
4,8.86753,0.73774,1.42193,0.90705,0.99654,1,0.995,0.64502,1.25994,2.40399,1.05352,0.000733668,0.000733668,0.000733668
5,10.7033,0.68174,1.24063,0.90678,1,0.84681,0.97625,0.63784,1.2617,2.82701,1.04616,0.000902384,0.000902384,0.000902384
6,12.5292,0.71835,1.34941,0.91812,1,0.76768,0.99262,0.58103,1.42224,2.78705,1.14187,0.00106318,0.00106318,0.00106318
7,14.4894,0.7915,1.5501,0.94972,1,0.68138,0.98848,0.63026,1.2286,2.8101,1.10133,0.00121606,0.00121606,0.00121606
8,16.3621,0.68908,1.25582,0.91251,1,0.93303,0.99262,0.65755,1.13253,2.39179,1.20719,0.00136101,0.00136101,0.00136101
9,18.1984,0.73805,1.33797,0.95067,1,0.94165,0.995,0.70151,1.10318,2.48683,1.11925,0.00149805,0.00149805,0.00149805
10,19.9699,0.73556,1.21023,0.92754,0.94816,0.91513,0.97954,0.69454,1.12855,2.2117,1.12704,0.00162716,0.00162716,0.00162716
11,21.7779,0.73507,1.15715,0.94551,0.96063,0.85,0.95777,0.67335,1.11845,2.09435,1.1054,0.001604,0.001604,0.001604
12,23.5391,0.6493,1.07803,0.89484,1,0.88883,0.98417,0.68735,1.13192,1.70139,1.09478,0.0015644,0.0015644,0.0015644
13,25.349,0.74702,1.16913,0.967,1,0.9832,0.995,0.65559,1.2951,1.65641,1.14579,0.0015248,0.0015248,0.0015248
14,27.1774,0.67005,1.06587,0.92783,0.9502,1,0.96881,0.63828,1.33615,1.31522,1.25687,0.0014852,0.0014852,0.0014852
15,29.1641,0.63753,1.03938,0.93424,0.99897,1,0.995,0.63889,1.43714,1.48502,1.44972,0.0014456,0.0014456,0.0014456
