epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.06251,0.52969,1.66936,0.88605,1,0.95982,0.995,0.91018,0.44909,2.32923,0.81612,0.000656085,0.000656085,0.000656085
2,17.2149,0.50408,1.05122,0.87763,0.99897,1,0.995,0.92295,0.39648,0.99951,0.84095,0.00130966,0.00130966,0.00130966
3,25.1754,0.48803,0.89737,0.871,0.99784,1,0.995,0.89656,0.42163,0.69436,0.8516,0.00195003,0.00195003,0.00195003
4,32.8723,0.48611,0.73735,0.87287,0.99905,1,0.995,0.93462,0.36464,0.52171,0.83684,0.0019406,0.0019406,0.0019406
5,40.5888,0.45675,0.66558,0.84355,0.99855,1,0.995,0.92967,0.38318,0.50361,0.84621,0.0019208,0.0019208,0.0019208
6,48.2157,0.44312,0.59408,0.85898,0.99891,1,0.995,0.89276,0.42014,0.50517,0.86019,0.001901,0.001901,0.001901
7,56.0282,0.44108,0.53073,0.85725,0.99912,1,0.995,0.94495,0.34673,0.38736,0.82429,0.0018812,0.0018812,0.0018812
