epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.63603,0.52969,1.66936,0.88605,1,0.95982,0.995,0.91018,0.44909,2.32923,0.81612,0.000656085,0.000656085,0.000656085
2,16.6418,0.50123,1.05375,0.87423,0.99911,1,0.995,0.91304,0.39983,0.95644,0.83857,0.00131948,0.00131948,0.00131948
3,24.4703,0.48884,0.88835,0.87012,0.99876,1,0.995,0.86964,0.53445,0.7069,0.92043,0.00197957,0.00197957,0.00197957
4,32.1468,0.49559,0.75597,0.86906,0.9983,1,0.995,0.92439,0.40972,0.64475,0.84167,0.00198515,0.00198515,0.00198515
5,39.8676,0.50854,0.69618,0.85809,0.99881,1,0.995,0.91757,0.43319,0.51203,0.86059,0.0019802,0.0019802,0.0019802
6,47.6054,0.46748,0.59707,0.86205,0.99906,1,0.995,0.9533,0.34877,0.46579,0.82482,0.00197525,0.00197525,0.00197525
7,55.2306,0.43121,0.51428,0.8539,0.99902,1,0.995,0.92306,0.34522,0.37089,0.82814,0.0019703,0.0019703,0.0019703
8,63.0998,0.42237,0.46578,0.85634,0.99897,1,0.995,0.90696,0.41975,0.35661,0.84225,0.00196535,0.00196535,0.00196535
9,70.7357,0.42723,0.4342,0.85437,0.9991,1,0.995,0.95002,0.33802,0.30493,0.81665,0.0019604,0.0019604,0.0019604
10,78.5804,0.41105,0.40596,0.85176,0.99913,1,0.995,0.91893,0.36346,0.2719,0.83536,0.00195545,0.00195545,0.00195545
11,86.3235,0.43337,0.40535,0.85307,0.99908,1,0.995,0.94236,0.33925,0.27077,0.83042,0.0019505,0.0019505,0.0019505
12,93.9889,0.41361,0.38652,0.85691,0.99902,1,0.995,0.92231,0.4109,0.29444,0.83711,0.00194555,0.00194555,0.00194555
13,101.692,0.38991,0.34773,0.85382,0.99906,1,0.995,0.95959,0.31494,0.26176,0.81141,0.0019406,0.0019406,0.0019406
14,109.453,0.4122,0.34871,0.83831,0.9991,1,0.995,0.94804,0.32413,0.25854,0.81642,0.00193565,0.00193565,0.00193565
15,117.216,0.41007,0.3477,0.84417,0.99914,1,0.995,0.9694,0.30771,0.26108,0.80901,0.0019307,0.0019307,0.0019307
16,124.974,0.38961,0.34235,0.85393,0.99857,1,0.995,0.96199,0.32807,0.26822,0.81974,0.00192575,0.00192575,0.00192575
17,132.707,0.38661,0.33049,0.85252,0.99898,1,0.995,0.93662,0.37012,0.24675,0.83238,0.0019208,0.0019208,0.0019208
18,140.33,0.36863,0.31161,0.84523,0.99658,1,0.995,0.96853,0.2819,0.28004,0.79666,0.00191585,0.00191585,0.00191585
19,147.989,0.38024,0.3076,0.8349,0.99863,1,0.995,0.96314,0.29573,0.23317,0.79417,0.0019109,0.0019109,0.0019109
20,155.591,0.38517,0.31372,0.84865,0.99849,1,0.995,0.97652,0.29245,0.21814,0.80214,0.00190595,0.00190595,0.00190595
21,163.228,0.36375,0.29901,0.84093,0.99915,1,0.995,0.96093,0.31392,0.21141,0.80535,0.001901,0.001901,0.001901
22,170.803,0.36062,0.2872,0.83211,0.99903,1,0.995,0.95711,0.31193,0.22245,0.80413,0.00189605,0.00189605,0.00189605
23,178.525,0.36207,0.28928,0.8483,0.99797,1,0.995,0.97235,0.2824,0.20952,0.80117,0.0018911,0.0018911,0.0018911
24,186.273,0.3884,0.30715,0.85349,0.99914,1,0.995,0.94691,0.3327,0.22984,0.81505,0.00188615,0.00188615,0.00188615
25,194.19,0.37378,0.28724,0.83596,0.99833,1,0.995,0.95266,0.34706,0.25948,0.81832,0.0018812,0.0018812,0.0018812
26,202.025,0.35473,0.27772,0.83981,0.99915,1,0.995,0.98619,0.24965,0.18949,0.79305,0.00187625,0.00187625,0.00187625
27,210.405,0.38597,0.29182,0.84309,0.99912,1,0.995,0.95131,0.32122,0.21923,0.80645,0.0018713,0.0018713,0.0018713
28,218.583,0.36481,0.28501,0.83874,0.99852,1,0.995,0.93829,0.31101,0.22379,0.80642,0.00186635,0.00186635,0.00186635
29,226.791,0.33319,0.26685,0.82788,0.99915,1,0.995,0.97719,0.25939,0.19632,0.79238,0.0018614,0.0018614,0.0018614
30,234.99,0.34067,0.26736,0.82947,0.99915,1,0.995,0.96684,0.29647,0.20853,0.79846,0.00185645,0.00185645,0.00185645
31,243.092,0.35414,0.27482,0.83444,0.99913,1,0.995,0.98206,0.24733,0.19829,0.78664,0.0018515,0.0018515,0.0018515
32,251.186,0.36364,0.28625,0.84788,0.99912,1,0.995,0.97381,0.30613,0.23424,0.80028,0.00184655,0.00184655,0.00184655
33,259.534,0.35308,0.27046,0.83684,0.99798,1,0.995,0.96894,0.29333,0.19945,0.8038,0.0018416,0.0018416,0.0018416
34,267.729,0.35023,0.26826,0.84115,0.99913,1,0.995,0.94132,0.32968,0.20743,0.81551,0.00183665,0.00183665,0.00183665
35,276.206,0.3466,0.26388,0.84972,0.99913,1,0.995,0.95558,0.26581,0.1807,0.79103,0.0018317,0.0018317,0.0018317
36,284.485,0.33042,0.26372,0.83634,0.99897,1,0.995,0.95832,0.29266,0.20632,0.80018,0.00182675,0.00182675,0.00182675
37,292.591,0.33555,0.26044,0.83259,0.99913,1,0.995,0.96193,0.27926,0.19138,0.80295,0.0018218,0.0018218,0.0018218
38,300.794,0.33766,0.26418,0.8335,0.99904,1,0.995,0.96011,0.30241,0.21333,0.8035,0.00181685,0.00181685,0.00181685
39,309.074,0.35153,0.26255,0.83477,0.99916,1,0.995,0.9796,0.25943,0.19126,0.78401,0.0018119,0.0018119,0.0018119
40,317.197,0.35837,0.26714,0.8409,0.99914,1,0.995,0.96935,0.28389,0.19799,0.80297,0.00180695,0.00180695,0.00180695
41,325.278,0.3564,0.26254,0.8429,0.99908,1,0.995,0.98129,0.26967,0.19741,0.79345,0.001802,0.001802,0.001802
42,333.108,0.35888,0.27622,0.84551,0.9991,1,0.995,0.96636,0.27079,0.19087,0.79269,0.00179705,0.00179705,0.00179705
43,340.891,0.33616,0.25287,0.82874,0.99915,1,0.995,0.95714,0.30708,0.19763,0.80417,0.0017921,0.0017921,0.0017921
44,348.609,0.32826,0.25173,0.83459,0.99914,1,0.995,0.95765,0.2933,0.19145,0.80308,0.00178715,0.00178715,0.00178715
45,356.27,0.33048,0.24398,0.82726,0.99906,1,0.995,0.95979,0.29393,0.19004,0.80782,0.0017822,0.0017822,0.0017822
46,363.929,0.33955,0.25523,0.8331,0.99761,1,0.995,0.97003,0.28317,0.19386,0.79962,0.00177725,0.00177725,0.00177725
47,371.639,0.32479,0.23555,0.8329,0.9991,1,0.995,0.97671,0.24471,0.16981,0.7859,0.0017723,0.0017723,0.0017723
48,379.315,0.35233,0.24612,0.83312,0.99911,1,0.995,0.97049,0.29855,0.18007,0.79831,0.00176735,0.00176735,0.00176735
49,387.048,0.33788,0.24769,0.84037,0.9989,1,0.995,0.97134,0.25516,0.19512,0.79053,0.0017624,0.0017624,0.0017624
