epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3896,0.56257,1.53767,0.91653,1,0.575,0.87796,0.80356,0.42247,4.49646,0.80226,0.00052,0.00052,0.00052
2,22.6852,0.56459,0.61952,0.89592,0.00678,0.40833,0.00572,0.00381,1.35301,inf,3.93644,0.00104951,0.00104951,0.00104951
3,33.5003,0.53757,0.51134,0.89649,0.00678,0.40833,0.00572,0.00381,nan,nan,nan,0.00156832,0.00156832,0.00156832
4,44.4852,0.54393,0.48583,0.90994,0.00678,0.40833,0.00572,0.00381,4.86156,6.63147,19.86,0.0019406,0.0019406,0.0019406
5,55.407,0.50015,0.4205,0.88982,0.00257,0.76667,0.0023,0.00077,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,66.2434,0.50768,0.4243,0.89617,0.00257,0.76667,0.0023,0.00077,4.59463,7.25446,13.7348,0.001901,0.001901,0.001901
7,77.1903,0.50514,0.40346,0.89113,0.93376,0.70482,0.77738,0.68077,0.71791,0.91781,1.04495,0.0018812,0.0018812,0.0018812
8,88.1456,0.45717,0.39507,0.88217,0.00059,0.01667,0.00023,0.00017,4.15197,297.951,22.925,0.0018614,0.0018614,0.0018614
9,99.04,0.45336,0.38062,0.88114,0.99977,1,0.995,0.93284,0.40465,0.39095,0.86036,0.0018416,0.0018416,0.0018416
10,110.077,0.45969,0.37371,0.87411,0.99977,1,0.995,0.93284,4.48977,9.23949,12.0485,0.0018218,0.0018218,0.0018218
11,121.143,0.44073,0.35265,0.87475,0.99977,1,0.995,0.93284,4.94958,8.00808,12.7596,0.001802,0.001802,0.001802
12,132.135,0.4638,0.36047,0.87498,0.9836,0.99974,0.9945,0.93308,0.37617,0.39163,0.83961,0.0017822,0.0017822,0.0017822
13,143.203,0.4314,0.34807,0.87408,0.99942,1,0.995,0.9444,0.35818,0.31991,0.83911,0.0017624,0.0017624,0.0017624
14,154.173,0.4149,0.34727,0.86877,0.06379,0.06667,0.00569,0.0049,3.6291,84.6175,15.2921,0.0017426,0.0017426,0.0017426
15,164.985,0.39484,0.33468,0.86344,0.97903,0.38907,0.4142,0.38784,0.63813,2.63776,1.04839,0.0017228,0.0017228,0.0017228
16,175.962,0.38868,0.32018,0.83803,0.99832,1,0.995,0.93948,0.35411,0.31531,0.83012,0.001703,0.001703,0.001703
17,187.075,0.38316,0.30842,0.86356,0.9961,1,0.995,0.92658,0.35692,0.3175,0.83067,0.0016832,0.0016832,0.0016832
18,198.069,0.38907,0.30583,0.8504,0.99953,1,0.995,0.9549,0.34896,0.31034,0.82081,0.0016634,0.0016634,0.0016634
19,209.157,0.379,0.29716,0.84538,0.99924,1,0.995,0.95938,0.32424,0.29551,0.82065,0.0016436,0.0016436,0.0016436
20,220.373,0.38032,0.30107,0.84396,0.99787,1,0.995,0.94626,0.33284,0.29493,0.81548,0.0016238,0.0016238,0.0016238
21,231.212,0.37464,0.29771,0.85489,0.98969,0.79967,0.8695,0.79254,0.67884,0.99511,1.05275,0.001604,0.001604,0.001604
